sample_id,original_idx,vistgerd_idx,vistlendi_idx,vistgerd,vistlendi
130,6884,34,8,Lyngmóavist á láglendi,Mólendi
131,485,61,2,Stinnastararvist,Graslendi
132,659,17,2,Grasengjavist,Graslendi
133,2056,60,12,Starungsmýravist,Votlendi
134,3202,42,8,Mosamóavist,Mólendi
135,903,28,7,Hélumosavist,Moslendi
136,6354,60,12,Starungsmýravist,Votlendi
137,4361,13,8,Fjalldrapamóavist,Mólendi
138,812,19,5,Grasmelavist,Melar og sandlendi
139,733,33,8,Lyngmóavist á hálendi,Mólendi
140,4243,39,6,Moldavist,Moldir
141,6252,34,8,Lyngmóavist á láglendi,Mólendi
142,6331,34,8,Lyngmóavist á láglendi,Mólendi
143,4846,28,7,Hélumosavist,Moslendi
144,4417,5,12,Brokflóavist,Votlendi
145,6460,17,2,Grasengjavist,Graslendi
146,2978,60,12,Starungsmýravist,Votlendi
147,3594,20,8,Grasmóavist,Mólendi
148,5969,36,2,Língresis- og vingulsvist,Graslendi
149,4142,63,12,Tjarnastararflóavist,Votlendi
150,4601,16,8,Fléttumóavist,Mólendi
151,2084,20,8,Grasmóavist,Mólendi
152,4439,10,5,Eyðimelavist,Melar og sandlendi
153,7187,14,8,Flagmóavist,Mólendi
154,7721,63,12,Tjarnastararflóavist,Votlendi
155,3647,25,7,Hraungambravist,Moslendi
156,4273,31,9,Ljónslappaskriðuvist,Skriður og klettar
157,1838,33,8,Lyngmóavist á hálendi,Mólendi
158,4907,16,8,Fléttumóavist,Mólendi
159,6327,34,8,Lyngmóavist á láglendi,Mólendi
160,6198,60,12,Starungsmýravist,Votlendi
161,3225,34,8,Lyngmóavist á láglendi,Mólendi
162,2733,60,12,Starungsmýravist,Votlendi
163,5912,36,2,Língresis- og vingulsvist,Graslendi
164,4857,41,5,Mosamelavist,Melar og sandlendi
165,253,63,12,Tjarnastararflóavist,Votlendi
166,1888,60,12,Starungsmýravist,Votlendi
167,3525,5,12,Brokflóavist,Votlendi
168,1596,58,8,Starmóavist,Mólendi
169,7886,60,12,Starungsmýravist,Votlendi
170,6778,25,7,Hraungambravist,Moslendi
171,1547,42,8,Mosamóavist,Mólendi
172,361,34,8,Lyngmóavist á láglendi,Mólendi
173,2459,42,8,Mosamóavist,Mólendi
174,1489,25,7,Hraungambravist,Moslendi
175,928,33,8,Lyngmóavist á hálendi,Mólendi
176,3616,5,12,Brokflóavist,Votlendi
177,1037,58,8,Starmóavist,Mólendi
178,7403,60,12,Starungsmýravist,Votlendi
179,6636,34,8,Lyngmóavist á láglendi,Mólendi
180,387,58,8,Starmóavist,Mólendi
181,6056,5,12,Brokflóavist,Votlendi
182,2339,60,12,Starungsmýravist,Votlendi
183,3000,60,12,Starungsmýravist,Votlendi
184,6227,34,8,Lyngmóavist á láglendi,Mólendi
185,3133,20,8,Grasmóavist,Mólendi
186,4315,41,5,Mosamelavist,Melar og sandlendi
187,3273,42,8,Mosamóavist,Mólendi
188,3425,63,12,Tjarnastararflóavist,Votlendi
189,2016,60,12,Starungsmýravist,Votlendi
190,5486,8,1,Eyravist,Eyrar
191,4637,20,8,Grasmóavist,Mólendi
192,7137,57,2,Snarrótarvist,Graslendi
193,730,24,12,Hengistararflóavist,Votlendi
194,7225,13,8,Fjalldrapamóavist,Mólendi
195,3444,25,7,Hraungambravist,Moslendi
196,3590,34,8,Lyngmóavist á láglendi,Mólendi
197,4985,10,5,Eyðimelavist,Melar og sandlendi
198,4148,68,5,Víðimelavist,Melar og sandlendi
199,5206,9,3,Eyðihraunavist,Hraunlendi
200,4768,13,8,Fjalldrapamóavist,Mólendi
201,831,30,5,Landmelhólavist,Melar og sandlendi
202,1366,63,12,Tjarnastararflóavist,Votlendi
203,712,61,2,Stinnastararvist,Graslendi
204,2293,19,5,Grasmelavist,Melar og sandlendi
205,2589,60,12,Starungsmýravist,Votlendi
206,6014,5,12,Brokflóavist,Votlendi
207,7284,42,8,Mosamóavist,Mólendi
208,4764,16,8,Fléttumóavist,Mólendi
209,4199,39,6,Moldavist,Moldir
210,4270,2,10,Birkiskógur,Skóglendi
211,5727,19,5,Grasmelavist,Melar og sandlendi
212,5748,29,10,Kjarrskógavist,Skóglendi
213,4827,13,8,Fjalldrapamóavist,Mólendi
214,2937,60,12,Starungsmýravist,Votlendi
215,3520,5,12,Brokflóavist,Votlendi
216,4706,20,8,Grasmóavist,Mólendi
217,4973,10,5,Eyðimelavist,Melar og sandlendi
218,5422,33,8,Lyngmóavist á hálendi,Mólendi
219,6425,18,11,Grashólavist,Strandlendi
220,2304,5,12,Brokflóavist,Votlendi
221,755,26,12,Hrossanálarvist,Votlendi
222,176,26,12,Hrossanálarvist,Votlendi
223,2573,42,8,Mosamóavist,Mólendi
224,1101,50,5,Sanda- og vikravist,Melar og sandlendi
225,2952,60,12,Starungsmýravist,Votlendi
226,4500,16,8,Fléttumóavist,Mólendi
227,2026,19,5,Grasmelavist,Melar og sandlendi
228,3026,25,7,Hraungambravist,Moslendi
229,7948,23,12,Gulstararflóavist,Votlendi
230,5567,25,7,Hraungambravist,Moslendi
231,6657,25,7,Hraungambravist,Moslendi
232,3524,5,12,Brokflóavist,Votlendi
233,2982,60,12,Starungsmýravist,Votlendi
234,1588,60,12,Starungsmýravist,Votlendi
235,4635,32,3,Lynghraunavist,Hraunlendi
236,4225,46,12,Rimamýravist,Votlendi
237,7773,60,12,Starungsmýravist,Votlendi
238,3042,58,8,Starmóavist,Mólendi
239,5275,40,3,Mosahraunavist,Hraunlendi
240,5148,67,8,Víðikjarrvist,Mólendi
241,131,60,12,Starungsmýravist,Votlendi
242,1708,34,8,Lyngmóavist á láglendi,Mólendi
243,2187,23,12,Gulstararflóavist,Votlendi
244,6049,5,12,Brokflóavist,Votlendi
245,3033,25,7,Hraungambravist,Moslendi
246,153,40,3,Mosahraunavist,Hraunlendi
247,4633,25,7,Hraungambravist,Moslendi
248,4375,19,5,Grasmelavist,Melar og sandlendi
249,7316,5,12,Brokflóavist,Votlendi
250,6472,48,12,Runnamýravist á láglendi,Votlendi
251,6336,32,3,Lynghraunavist,Hraunlendi
252,2118,23,12,Gulstararflóavist,Votlendi
253,6248,34,8,Lyngmóavist á láglendi,Mólendi
254,1440,5,12,Brokflóavist,Votlendi
255,6864,23,12,Gulstararflóavist,Votlendi
256,4446,15,3,Fléttuhraunavist,Hraunlendi
257,240,60,12,Starungsmýravist,Votlendi
258,5492,8,1,Eyravist,Eyrar
259,1880,34,8,Lyngmóavist á láglendi,Mólendi
260,1234,57,2,Snarrótarvist,Graslendi
261,2806,34,8,Lyngmóavist á láglendi,Mólendi
262,6821,67,8,Víðikjarrvist,Mólendi
263,5099,50,5,Sanda- og vikravist,Melar og sandlendi
264,866,8,1,Eyravist,Eyrar
265,1700,34,8,Lyngmóavist á láglendi,Mólendi
266,4797,42,8,Mosamóavist,Mólendi
267,3688,34,8,Lyngmóavist á láglendi,Mólendi
268,752,26,12,Hrossanálarvist,Votlendi
269,4349,61,2,Stinnastararvist,Graslendi
270,3377,56,0,Skógrækt,Aðrar landgerðir
271,6870,57,2,Snarrótarvist,Graslendi
272,164,40,3,Mosahraunavist,Hraunlendi
273,5386,38,7,Melagambravist,Moslendi
274,1671,34,8,Lyngmóavist á láglendi,Mólendi
275,5011,10,5,Eyðimelavist,Melar og sandlendi
276,5227,25,7,Hraungambravist,Moslendi
277,7392,36,2,Língresis- og vingulsvist,Graslendi
278,6996,62,11,Strandmelhólavist,Strandlendi
279,7574,69,8,Víðimóavist,Mólendi
280,3025,5,12,Brokflóavist,Votlendi
281,4100,33,8,Lyngmóavist á hálendi,Mólendi
282,7218,13,8,Fjalldrapamóavist,Mólendi
283,6936,60,12,Starungsmýravist,Votlendi
284,6384,48,12,Runnamýravist á láglendi,Votlendi
285,2946,60,12,Starungsmýravist,Votlendi
286,3213,5,12,Brokflóavist,Votlendi
287,1356,13,8,Fjalldrapamóavist,Mólendi
288,6875,20,8,Grasmóavist,Mólendi
289,1386,48,12,Runnamýravist á láglendi,Votlendi
290,5694,60,12,Starungsmýravist,Votlendi
291,3934,60,12,Starungsmýravist,Votlendi
292,6540,60,12,Starungsmýravist,Votlendi
293,3509,48,12,Runnamýravist á láglendi,Votlendi
294,7712,25,7,Hraungambravist,Moslendi
295,7457,20,8,Grasmóavist,Mólendi
296,1363,60,12,Starungsmýravist,Votlendi
297,2224,64,0,Tún og akurlendi,Aðrar landgerðir
298,5657,31,9,Ljónslappaskriðuvist,Skriður og klettar
299,744,62,11,Strandmelhólavist,Strandlendi
300,5762,5,12,Brokflóavist,Votlendi
301,10,13,8,Fjalldrapamóavist,Mólendi
302,1712,16,8,Fléttumóavist,Mólendi
303,6560,60,12,Starungsmýravist,Votlendi
304,7435,60,12,Starungsmýravist,Votlendi
305,6886,20,8,Grasmóavist,Mólendi
306,7719,63,12,Tjarnastararflóavist,Votlendi
307,1379,48,12,Runnamýravist á láglendi,Votlendi
308,2783,48,12,Runnamýravist á láglendi,Votlendi
309,5007,13,8,Fjalldrapamóavist,Mólendi
310,3881,13,8,Fjalldrapamóavist,Mólendi
311,2058,60,12,Starungsmýravist,Votlendi
312,4495,28,7,Hélumosavist,Moslendi
313,7037,0,0,Alaskalúpína,Aðrar landgerðir
314,1105,15,3,Fléttuhraunavist,Hraunlendi
315,7785,36,2,Língresis- og vingulsvist,Graslendi
316,7945,36,2,Língresis- og vingulsvist,Graslendi
317,4997,9,3,Eyðihraunavist,Hraunlendi
318,3885,48,12,Runnamýravist á láglendi,Votlendi
319,2592,48,12,Runnamýravist á láglendi,Votlendi
320,3805,13,8,Fjalldrapamóavist,Mólendi
321,3817,41,5,Mosamelavist,Melar og sandlendi
322,5702,63,12,Tjarnastararflóavist,Votlendi
323,3656,25,7,Hraungambravist,Moslendi
324,2958,41,5,Mosamelavist,Melar og sandlendi
325,6346,17,2,Grasengjavist,Graslendi
326,2685,34,8,Lyngmóavist á láglendi,Mólendi
327,2239,60,12,Starungsmýravist,Votlendi
328,1108,38,7,Melagambravist,Moslendi
329,7128,48,12,Runnamýravist á láglendi,Votlendi
330,1576,60,12,Starungsmýravist,Votlendi
331,6768,63,12,Tjarnastararflóavist,Votlendi
332,139,48,12,Runnamýravist á láglendi,Votlendi
333,6815,48,12,Runnamýravist á láglendi,Votlendi
334,3716,34,8,Lyngmóavist á láglendi,Mólendi
335,726,68,5,Víðimelavist,Melar og sandlendi
336,1734,41,5,Mosamelavist,Melar og sandlendi
337,5075,39,6,Moldavist,Moldir
338,6413,36,2,Língresis- og vingulsvist,Graslendi
339,1058,8,1,Eyravist,Eyrar
340,7156,58,8,Starmóavist,Mólendi
341,5598,60,12,Starungsmýravist,Votlendi
342,4565,9,3,Eyðihraunavist,Hraunlendi
343,4259,13,8,Fjalldrapamóavist,Mólendi
344,230,34,8,Lyngmóavist á láglendi,Mólendi
345,957,45,12,Rekjuvist,Votlendi
346,5043,10,5,Eyðimelavist,Melar og sandlendi
347,7185,25,7,Hraungambravist,Moslendi
348,1459,20,8,Grasmóavist,Mólendi
349,933,10,5,Eyðimelavist,Melar og sandlendi
350,5821,60,12,Starungsmýravist,Votlendi
351,2211,60,12,Starungsmýravist,Votlendi
352,3717,42,8,Mosamóavist,Mólendi
353,7122,57,2,Snarrótarvist,Graslendi
354,2605,5,12,Brokflóavist,Votlendi
355,565,54,11,Sjávarkletta- og eyjavist,Strandlendi
356,7352,23,12,Gulstararflóavist,Votlendi
357,4080,46,12,Rimamýravist,Votlendi
358,7481,36,2,Língresis- og vingulsvist,Graslendi
359,5862,60,12,Starungsmýravist,Votlendi
360,1451,48,12,Runnamýravist á láglendi,Votlendi
361,1574,59,12,Starungsflóavist,Votlendi
362,1236,57,2,Snarrótarvist,Graslendi
363,7138,60,12,Starungsmýravist,Votlendi
364,5615,60,12,Starungsmýravist,Votlendi
365,1373,60,12,Starungsmýravist,Votlendi
366,172,1,1,Auravist,Eyrar
367,5955,48,12,Runnamýravist á láglendi,Votlendi
368,6090,60,12,Starungsmýravist,Votlendi
369,7879,36,2,Língresis- og vingulsvist,Graslendi
370,7586,48,12,Runnamýravist á láglendi,Votlendi
371,3891,48,12,Runnamýravist á láglendi,Votlendi
372,339,5,12,Brokflóavist,Votlendi
373,6866,5,12,Brokflóavist,Votlendi
374,4285,34,8,Lyngmóavist á láglendi,Mólendi
375,2954,5,12,Brokflóavist,Votlendi
376,276,31,9,Ljónslappaskriðuvist,Skriður og klettar
377,6492,34,8,Lyngmóavist á láglendi,Mólendi
378,2085,20,8,Grasmóavist,Mólendi
379,5048,10,5,Eyðimelavist,Melar og sandlendi
380,2672,60,12,Starungsmýravist,Votlendi
381,4972,10,5,Eyðimelavist,Melar og sandlendi
382,6508,17,2,Grasengjavist,Graslendi
383,576,53,11,Sjávarfitjungsvist,Strandlendi
384,3992,6,2,Bugðupuntsvist,Graslendi
385,1791,20,8,Grasmóavist,Mólendi
386,7842,61,2,Stinnastararvist,Graslendi
387,4518,67,8,Víðikjarrvist,Mólendi
388,4903,10,5,Eyðimelavist,Melar og sandlendi
389,5288,36,2,Língresis- og vingulsvist,Graslendi
390,2479,65,0,Uppgræðslur,Aðrar landgerðir
391,3378,42,8,Mosamóavist,Mólendi
392,189,36,2,Língresis- og vingulsvist,Graslendi
393,7888,36,2,Língresis- og vingulsvist,Graslendi
394,1736,60,12,Starungsmýravist,Votlendi
395,1136,10,5,Eyðimelavist,Melar og sandlendi
396,4931,16,8,Fléttumóavist,Mólendi
397,4881,41,5,Mosamelavist,Melar og sandlendi
398,685,13,8,Fjalldrapamóavist,Mólendi
399,4073,10,5,Eyðimelavist,Melar og sandlendi
400,3676,24,12,Hengistararflóavist,Votlendi
401,890,45,12,Rekjuvist,Votlendi
402,896,49,12,Rústamýravist,Votlendi
403,4280,54,11,Sjávarkletta- og eyjavist,Strandlendi
404,5483,8,1,Eyravist,Eyrar
405,4965,45,12,Rekjuvist,Votlendi
406,3427,34,8,Lyngmóavist á láglendi,Mólendi
407,5857,36,2,Língresis- og vingulsvist,Graslendi
408,7607,63,12,Tjarnastararflóavist,Votlendi
409,960,45,12,Rekjuvist,Votlendi
410,6261,34,8,Lyngmóavist á láglendi,Mólendi
411,7306,14,8,Flagmóavist,Mólendi
412,2039,48,12,Runnamýravist á láglendi,Votlendi
413,1279,57,2,Snarrótarvist,Graslendi
414,1186,13,8,Fjalldrapamóavist,Mólendi
415,4465,13,8,Fjalldrapamóavist,Mólendi
416,5026,63,12,Tjarnastararflóavist,Votlendi
417,1442,5,12,Brokflóavist,Votlendi
418,7058,29,10,Kjarrskógavist,Skóglendi
419,3455,13,8,Fjalldrapamóavist,Mólendi
420,3093,58,8,Starmóavist,Mólendi
421,6833,63,12,Tjarnastararflóavist,Votlendi
422,6964,26,12,Hrossanálarvist,Votlendi
423,1613,34,8,Lyngmóavist á láglendi,Mólendi
424,5826,5,12,Brokflóavist,Votlendi
425,7501,48,12,Runnamýravist á láglendi,Votlendi
426,4995,9,3,Eyðihraunavist,Hraunlendi
427,3090,25,7,Hraungambravist,Moslendi
428,6037,5,12,Brokflóavist,Votlendi
429,5222,20,8,Grasmóavist,Mólendi
430,980,58,8,Starmóavist,Mólendi
431,7426,48,12,Runnamýravist á láglendi,Votlendi
432,3706,34,8,Lyngmóavist á láglendi,Mólendi
433,1034,45,12,Rekjuvist,Votlendi
434,6814,57,2,Snarrótarvist,Graslendi
435,181,1,1,Auravist,Eyrar
436,6313,34,8,Lyngmóavist á láglendi,Mólendi
437,2052,48,12,Runnamýravist á láglendi,Votlendi
438,2837,48,12,Runnamýravist á láglendi,Votlendi
439,1549,48,12,Runnamýravist á láglendi,Votlendi
440,2922,63,12,Tjarnastararflóavist,Votlendi
441,6579,32,3,Lynghraunavist,Hraunlendi
442,912,68,5,Víðimelavist,Melar og sandlendi
443,3195,25,7,Hraungambravist,Moslendi
444,5096,13,8,Fjalldrapamóavist,Mólendi
445,6332,34,8,Lyngmóavist á láglendi,Mólendi
446,6817,3,2,Blómgresisvist,Graslendi
447,3662,25,7,Hraungambravist,Moslendi
448,7798,23,12,Gulstararflóavist,Votlendi
449,3529,5,12,Brokflóavist,Votlendi
450,7919,48,12,Runnamýravist á láglendi,Votlendi
451,6771,34,8,Lyngmóavist á láglendi,Mólendi
452,5800,5,12,Brokflóavist,Votlendi
453,6975,18,11,Grashólavist,Strandlendi
454,4632,19,5,Grasmelavist,Melar og sandlendi
455,6555,31,9,Ljónslappaskriðuvist,Skriður og klettar
456,5621,17,2,Grasengjavist,Graslendi
457,1405,26,12,Hrossanálarvist,Votlendi
458,3535,58,8,Starmóavist,Mólendi
459,5238,34,8,Lyngmóavist á láglendi,Mólendi
460,2876,25,7,Hraungambravist,Moslendi
461,5964,17,2,Grasengjavist,Graslendi
462,7488,62,11,Strandmelhólavist,Strandlendi
463,5905,60,12,Starungsmýravist,Votlendi
464,6634,67,8,Víðikjarrvist,Mólendi
465,179,26,12,Hrossanálarvist,Votlendi
466,745,62,11,Strandmelhólavist,Strandlendi
467,4691,28,7,Hélumosavist,Moslendi
468,2612,20,8,Grasmóavist,Mólendi
469,3687,58,8,Starmóavist,Mólendi
470,264,5,12,Brokflóavist,Votlendi
471,5519,50,5,Sanda- og vikravist,Melar og sandlendi
472,290,6,2,Bugðupuntsvist,Graslendi
473,1771,48,12,Runnamýravist á láglendi,Votlendi
474,1063,15,3,Fléttuhraunavist,Hraunlendi
475,6872,5,12,Brokflóavist,Votlendi
476,4070,41,5,Mosamelavist,Melar og sandlendi
477,4902,14,8,Flagmóavist,Mólendi
478,282,25,7,Hraungambravist,Moslendi
479,1185,13,8,Fjalldrapamóavist,Mólendi
480,5493,8,1,Eyravist,Eyrar
481,7625,67,8,Víðikjarrvist,Mólendi
482,3999,2,10,Birkiskógur,Skóglendi
483,1966,60,12,Starungsmýravist,Votlendi
484,2562,26,12,Hrossanálarvist,Votlendi
485,1672,34,8,Lyngmóavist á láglendi,Mólendi
486,2329,60,12,Starungsmýravist,Votlendi
487,4697,25,7,Hraungambravist,Moslendi
488,4886,58,8,Starmóavist,Mólendi
489,5401,10,5,Eyðimelavist,Melar og sandlendi
490,4908,13,8,Fjalldrapamóavist,Mólendi
491,4607,10,5,Eyðimelavist,Melar og sandlendi
492,803,67,8,Víðikjarrvist,Mólendi
493,1896,63,12,Tjarnastararflóavist,Votlendi
494,329,11,2,Finnungsvist,Graslendi
495,7516,5,12,Brokflóavist,Votlendi
496,7950,59,12,Starungsflóavist,Votlendi
497,3762,13,8,Fjalldrapamóavist,Mólendi
498,4288,67,8,Víðikjarrvist,Mólendi
499,5474,25,7,Hraungambravist,Moslendi
500,4172,68,5,Víðimelavist,Melar og sandlendi
501,3100,25,7,Hraungambravist,Moslendi
502,1314,15,3,Fléttuhraunavist,Hraunlendi
503,6385,23,12,Gulstararflóavist,Votlendi
504,3,57,2,Snarrótarvist,Graslendi
505,3711,42,8,Mosamóavist,Mólendi
506,4528,9,3,Eyðihraunavist,Hraunlendi
507,6746,63,12,Tjarnastararflóavist,Votlendi
508,5159,10,5,Eyðimelavist,Melar og sandlendi
509,6775,20,8,Grasmóavist,Mólendi
510,62,16,8,Fléttumóavist,Mólendi
511,963,58,8,Starmóavist,Mólendi
512,6016,5,12,Brokflóavist,Votlendi
513,4017,60,12,Starungsmýravist,Votlendi
514,870,16,8,Fléttumóavist,Mólendi
515,5741,60,12,Starungsmýravist,Votlendi
516,7136,57,2,Snarrótarvist,Graslendi
517,872,10,5,Eyðimelavist,Melar og sandlendi
518,6613,5,12,Brokflóavist,Votlendi
519,7134,60,12,Starungsmýravist,Votlendi
520,448,19,5,Grasmelavist,Melar og sandlendi
521,7815,60,12,Starungsmýravist,Votlendi
522,104,30,5,Landmelhólavist,Melar og sandlendi
523,7359,23,12,Gulstararflóavist,Votlendi
524,2030,60,12,Starungsmýravist,Votlendi
525,1697,5,12,Brokflóavist,Votlendi
526,5619,60,12,Starungsmýravist,Votlendi
527,1653,34,8,Lyngmóavist á láglendi,Mólendi
528,1446,13,8,Fjalldrapamóavist,Mólendi
529,673,60,12,Starungsmýravist,Votlendi
530,4379,68,5,Víðimelavist,Melar og sandlendi
531,6851,26,12,Hrossanálarvist,Votlendi
532,7375,23,12,Gulstararflóavist,Votlendi
533,1910,34,8,Lyngmóavist á láglendi,Mólendi
534,5416,36,2,Língresis- og vingulsvist,Graslendi
535,5832,5,12,Brokflóavist,Votlendi
536,5911,36,2,Língresis- og vingulsvist,Graslendi
537,4153,39,6,Moldavist,Moldir
538,7694,36,2,Língresis- og vingulsvist,Graslendi
539,4264,3,2,Blómgresisvist,Graslendi
540,2131,63,12,Tjarnastararflóavist,Votlendi
541,7241,13,8,Fjalldrapamóavist,Mólendi
542,595,31,9,Ljónslappaskriðuvist,Skriður og klettar
543,1497,67,8,Víðikjarrvist,Mólendi
544,7921,60,12,Starungsmýravist,Votlendi
545,6624,60,12,Starungsmýravist,Votlendi
546,1679,25,7,Hraungambravist,Moslendi
547,7520,60,12,Starungsmýravist,Votlendi
548,2509,48,12,Runnamýravist á láglendi,Votlendi
549,4520,36,2,Língresis- og vingulsvist,Graslendi
550,1693,60,12,Starungsmýravist,Votlendi
